FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 12:00:00 AM,AA,1039,ORD,"Chicago, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1800,,1936,,1.00,0.00,334.00
1/1/2022 12:00:00 AM,AA,1040,MCO,"Orlando, FL",FL,33,CLT,"Charlotte, NC",NC,36,1548,1540,1730,1727,0.00,0.00,468.00
1/1/2022 12:00:00 AM,AA,1041,PHL,"Philadelphia, PA",PA,23,LAX,"Los Angeles, CA",CA,91,2000,2011,2302,2255,0.00,0.00,2402.00
1/1/2022 12:00:00 AM,AA,1042,IND,"Indianapolis, IN",IN,42,CLT,"Charlotte, NC",NC,36,0800,0801,0954,0938,0.00,0.00,427.00
1/1/2022 12:00:00 AM,AA,1043,CLT,"Charlotte, NC",NC,36,CLE,"Cleveland, OH",OH,44,2049,2058,2232,2221,0.00,0.00,430.00
1/1/2022 12:00:00 AM,AA,1045,MIA,"Miami, FL",FL,33,ATL,"Atlanta, GA",GA,34,1903,1929,2102,2112,0.00,0.00,594.00
1/1/2022 12:00:00 AM,AA,1046,BOS,"Boston, MA",MA,13,AUS,"Austin, TX",TX,74,1300,1319,1658,1727,0.00,0.00,1698.00
1/1/2022 12:00:00 AM,AA,1047,ORD,"Chicago, IL",IL,41,DFW,"Dallas/Fort Worth, TX",TX,74,2005,,2239,,1.00,0.00,801.00
1/1/2022 12:00:00 AM,AA,1048,DFW,"Dallas/Fort Worth, TX",TX,74,PNS,"Pensacola, FL",FL,33,1435,1449,1617,1626,0.00,0.00,604.00
1/1/2022 12:00:00 AM,AA,1049,ATL,"Atlanta, GA",GA,34,MIA,"Miami, FL",FL,33,0919,0914,1120,1108,0.00,0.00,594.00
1/1/2022 12:00:00 AM,AA,1050,MIA,"Miami, FL",FL,33,IAH,"Houston, TX",TX,74,2210,2204,0004,2339,0.00,0.00,964.00
1/1/2022 12:00:00 AM,AA,1051,ATL,"Atlanta, GA",GA,34,DFW,"Dallas/Fort Worth, TX",TX,74,1921,1915,2059,2110,0.00,0.00,731.00
1/1/2022 12:00:00 AM,AA,1051,DFW,"Dallas/Fort Worth, TX",TX,74,ATL,"Atlanta, GA",GA,34,1517,1508,1822,1821,0.00,0.00,731.00
1/1/2022 12:00:00 AM,AA,1052,AUS,"Austin, TX",TX,74,ORD,"Chicago, IL",IL,41,1639,,1925,,1.00,0.00,977.00
1/1/2022 12:00:00 AM,AA,1054,MIA,"Miami, FL",FL,33,BOS,"Boston, MA",MA,13,2100,2104,0011,0009,0.00,0.00,1258.00
1/1/2022 12:00:00 AM,AA,1055,SAN,"San Diego, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,0700,0653,1204,1134,0.00,0.00,1171.00
1/1/2022 12:00:00 AM,AA,1057,SNA,"Santa Ana, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1229,1232,1725,1716,0.00,0.00,1205.00
1/1/2022 12:00:00 AM,AA,1060,AUS,"Austin, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1846,1900,2000,2016,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1060,DFW,"Dallas/Fort Worth, TX",TX,74,AUS,"Austin, TX",TX,74,1648,1651,1756,1818,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1061,JAX,"Jacksonville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,0925,0933,1122,1118,0.00,0.00,918.00
1/1/2022 12:00:00 AM,AA,1062,ORD,"Chicago, IL",IL,41,STL,"St. Louis, MO",MO,64,1907,,2021,,1.00,0.00,258.00
1/1/2022 12:00:00 AM,AA,1064,DFW,"Dallas/Fort Worth, TX",TX,74,AUS,"Austin, TX",TX,74,1427,1426,1532,1525,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1065,AUS,"Austin, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1241,1242,1351,1338,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1065,DFW,"Dallas/Fort Worth, TX",TX,74,AUS,"Austin, TX",TX,74,1040,1037,1151,1144,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1069,MIA,"Miami, FL",FL,33,CLT,"Charlotte, NC",NC,36,1940,1941,2146,2132,0.00,0.00,650.00
1/1/2022 12:00:00 AM,AA,1070,CLT,"Charlotte, NC",NC,36,AUS,"Austin, TX",TX,74,0800,0758,1000,0953,0.00,0.00,1032.00
1/1/2022 12:00:00 AM,AA,1071,LAX,"Los Angeles, CA",CA,91,ATL,"Atlanta, GA",GA,34,2304,2306,0624,0608,0.00,0.00,1947.00
1/1/2022 12:00:00 AM,AA,1072,CLT,"Charlotte, NC",NC,36,MKE,"Milwaukee, WI",WI,45,1721,1738,1832,1836,0.00,0.00,651.00
1/1/2022 12:00:00 AM,AA,1073,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,1110,1108,1213,1159,0.00,0.00,575.00
1/1/2022 12:00:00 AM,AA,1074,JFK,"New York, NY",NY,22,LAS,"Las Vegas, NV",NV,85,2030,2025,2331,2317,0.00,0.00,2248.00
1/1/2022 12:00:00 AM,AA,1075,DFW,"Dallas/Fort Worth, TX",TX,74,CLT,"Charlotte, NC",NC,36,1655,1652,2024,2012,0.00,0.00,936.00
1/1/2022 12:00:00 AM,AA,1076,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1912,1906,2101,2109,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1079,STL,"St. Louis, MO",MO,64,LGA,"New York, NY",NY,22,1512,1505,1829,1815,0.00,0.00,888.00
1/1/2022 12:00:00 AM,AA,1083,PHX,"Phoenix, AZ",AZ,81,AUS,"Austin, TX",TX,74,0950,0946,1308,1243,0.00,0.00,872.00
1/1/2022 12:00:00 AM,AA,1084,CLT,"Charlotte, NC",NC,36,AUS,"Austin, TX",TX,74,1305,1258,1510,1500,0.00,0.00,1032.00
1/1/2022 12:00:00 AM,AA,1085,DFW,"Dallas/Fort Worth, TX",TX,74,LAX,"Los Angeles, CA",CA,91,1027,1022,1201,1150,0.00,0.00,1235.00
1/1/2022 12:00:00 AM,AA,1086,LAX,"Los Angeles, CA",CA,91,AUS,"Austin, TX",TX,74,1155,1153,1656,1632,0.00,0.00,1242.00
1/1/2022 12:00:00 AM,AA,1088,RDU,"Raleigh/Durham, NC",NC,36,MIA,"Miami, FL",FL,33,0840,0838,1100,1104,0.00,0.00,700.00
1/1/2022 12:00:00 AM,AA,1091,MIA,"Miami, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1530,1530,1745,1741,0.00,0.00,1121.00
1/1/2022 12:00:00 AM,AA,1092,DFW,"Dallas/Fort Worth, TX",TX,74,TUL,"Tulsa, OK",OK,73,1235,1228,1344,1328,0.00,0.00,237.00
1/1/2022 12:00:00 AM,AA,1092,TUL,"Tulsa, OK",OK,73,DFW,"Dallas/Fort Worth, TX",TX,74,1424,1421,1551,1611,0.00,0.00,237.00
1/1/2022 12:00:00 AM,AA,1094,CLT,"Charlotte, NC",NC,36,RSW,"Fort Myers, FL",FL,33,1058,1103,1250,1242,0.00,0.00,600.00
1/1/2022 12:00:00 AM,AA,1095,DFW,"Dallas/Fort Worth, TX",TX,74,SAT,"San Antonio, TX",TX,74,1949,1944,2103,2108,0.00,0.00,247.00
1/1/2022 12:00:00 AM,AA,1096,EWR,"Newark, NJ",NJ,21,DFW,"Dallas/Fort Worth, TX",TX,74,1032,1041,1357,1347,0.00,0.00,1372.00
1/1/2022 12:00:00 AM,AA,1099,PHL,"Philadelphia, PA",PA,23,DFW,"Dallas/Fort Worth, TX",TX,74,0834,0905,1126,1154,0.00,0.00,1303.00
1/1/2022 12:00:00 AM,AA,1100,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1539,1546,1805,1819,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1100,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1257,1258,1449,1452,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1101,ORD,"Chicago, IL",IL,41,TPA,"Tampa, FL",FL,33,1250,1249,1628,1628,0.00,0.00,1011.00
1/1/2022 12:00:00 AM,AA,1103,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,0922,0919,1140,1130,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1106,DFW,"Dallas/Fort Worth, TX",TX,74,ORD,"Chicago, IL",IL,41,1945,,2202,,1.00,0.00,801.00
1/1/2022 12:00:00 AM,AA,1107,DCA,"Washington, DC",VA,38,ORD,"Chicago, IL",IL,41,0936,1136,1059,1230,0.00,0.00,612.00
1/1/2022 12:00:00 AM,AA,1109,ORD,"Chicago, IL",IL,41,STT,"Charlotte Amalie, VI",VI,4,0810,0816,1449,1446,0.00,0.00,2115.00
1/1/2022 12:00:00 AM,AA,1110,DSM,"Des Moines, IA",IA,61,CLT,"Charlotte, NC",NC,36,0637,0640,1010,0958,0.00,0.00,815.00
1/1/2022 12:00:00 AM,AA,1113,FLL,"Fort Lauderdale, FL",FL,33,LAX,"Los Angeles, CA",CA,91,1809,1850,2059,2118,0.00,0.00,2343.00
1/1/2022 12:00:00 AM,AA,1114,MIA,"Miami, FL",FL,33,ORD,"Chicago, IL",IL,41,2230,,0047,,1.00,0.00,1197.00
1/1/2022 12:00:00 AM,AA,1115,RDU,"Raleigh/Durham, NC",NC,36,PHL,"Philadelphia, PA",PA,23,0650,0642,0823,0801,0.00,0.00,337.00
1/1/2022 12:00:00 AM,AA,1116,LAX,"Los Angeles, CA",CA,91,BNA,"Nashville, TN",TN,54,1444,1451,2041,2039,0.00,0.00,1797.00
1/1/2022 12:00:00 AM,AA,1118,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1107,1100,1325,1307,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1119,LAX,"Los Angeles, CA",CA,91,AUS,"Austin, TX",TX,74,1858,1850,2359,2351,0.00,0.00,1242.00
1/1/2022 12:00:00 AM,AA,1120,LGA,"New York, NY",NY,22,STL,"St. Louis, MO",MO,64,0920,0909,1122,1050,0.00,0.00,888.00
1/1/2022 12:00:00 AM,AA,1121,ORD,"Chicago, IL",IL,41,MCO,"Orlando, FL",FL,33,0830,0831,1211,1219,0.00,0.00,1005.00
1/1/2022 12:00:00 AM,AA,1129,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1301,1331,1520,1556,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1129,DFW,"Dallas/Fort Worth, TX",TX,74,BNA,"Nashville, TN",TN,54,1025,1045,1211,1234,0.00,0.00,631.00
1/1/2022 12:00:00 AM,AA,1133,DFW,"Dallas/Fort Worth, TX",TX,74,RIC,"Richmond, VA",VA,38,1956,1951,2335,2339,0.00,0.00,1158.00
1/1/2022 12:00:00 AM,AA,1139,BNA,"Nashville, TN",TN,54,MIA,"Miami, FL",FL,33,0732,0743,1059,1055,0.00,0.00,806.00
1/1/2022 12:00:00 AM,AA,1141,MIA,"Miami, FL",FL,33,CLT,"Charlotte, NC",NC,36,1220,1231,1421,1421,0.00,0.00,650.00
1/1/2022 12:00:00 AM,AA,1147,PHX,"Phoenix, AZ",AZ,81,MIA,"Miami, FL",FL,33,1335,1331,1953,1942,0.00,0.00,1972.00
1/1/2022 12:00:00 AM,AA,1148,BOS,"Boston, MA",MA,13,DFW,"Dallas/Fort Worth, TX",TX,74,1749,1809,2134,2203,0.00,0.00,1562.00
1/1/2022 12:00:00 AM,AA,1148,DFW,"Dallas/Fort Worth, TX",TX,74,BOS,"Boston, MA",MA,13,1224,1249,1655,1715,0.00,0.00,1562.00
1/1/2022 12:00:00 AM,AA,1149,ELP,"El Paso, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,0620,0620,0910,0857,0.00,0.00,551.00
1/1/2022 12:00:00 AM,AA,1151,ATL,"Atlanta, GA",GA,34,MIA,"Miami, FL",FL,33,0515,0514,0715,0700,0.00,0.00,594.00
1/1/2022 12:00:00 AM,AA,1152,MIA,"Miami, FL",FL,33,LAX,"Los Angeles, CA",CA,91,2155,2158,0032,0039,0.00,0.00,2342.00
1/1/2022 12:00:00 AM,AA,1153,MIA,"Miami, FL",FL,33,RDU,"Raleigh/Durham, NC",NC,36,1447,1816,1654,2028,0.00,0.00,700.00
1/1/2022 12:00:00 AM,AA,1154,PHX,"Phoenix, AZ",AZ,81,MCO,"Orlando, FL",FL,33,1643,1643,2244,2230,0.00,0.00,1849.00
1/1/2022 12:00:00 AM,AA,1156,PHX,"Phoenix, AZ",AZ,81,ORD,"Chicago, IL",IL,41,0600,0554,1033,0953,0.00,0.00,1440.00
1/1/2022 12:00:00 AM,AA,1158,DCA,"Washington, DC",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,1844,1839,2126,2147,0.00,0.00,1192.00
1/1/2022 12:00:00 AM,AA,1159,MIA,"Miami, FL",FL,33,ORD,"Chicago, IL",IL,41,1640,,1906,,1.00,0.00,1197.00
1/1/2022 12:00:00 AM,AA,116,OGG,"Kahului, HI",HI,2,DFW,"Dallas/Fort Worth, TX",TX,74,2130,2126,0836,0808,0.00,0.00,3711.00
1/1/2022 12:00:00 AM,AA,1160,LAX,"Los Angeles, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,0836,0837,1105,1105,0.00,0.00,370.00
1/1/2022 12:00:00 AM,AA,1160,PHX,"Phoenix, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,1315,1310,1351,1338,0.00,0.00,370.00
1/1/2022 12:00:00 AM,AA,1163,DFW,"Dallas/Fort Worth, TX",TX,74,BOS,"Boston, MA",MA,13,1042,1044,1525,1504,0.00,0.00,1562.00
1/1/2022 12:00:00 AM,AA,1164,DEN,"Denver, CO",CO,82,LAX,"Los Angeles, CA",CA,91,2102,2127,2238,2236,0.00,0.00,862.00
1/1/2022 12:00:00 AM,AA,1164,LAX,"Los Angeles, CA",CA,91,DEN,"Denver, CO",CO,82,1657,1652,2021,2037,0.00,0.00,862.00
1/1/2022 12:00:00 AM,AA,1165,BOS,"Boston, MA",MA,13,PHL,"Philadelphia, PA",PA,23,1800,1757,1936,1930,0.00,0.00,280.00
1/1/2022 12:00:00 AM,AA,1167,MSY,"New Orleans, LA",LA,72,PHX,"Phoenix, AZ",AZ,81,1433,1438,1707,1712,0.00,0.00,1300.00
1/1/2022 12:00:00 AM,AA,1168,ORD,"Chicago, IL",IL,41,SAN,"San Diego, CA",CA,91,1315,1309,1547,1556,0.00,0.00,1723.00
1/1/2022 12:00:00 AM,AA,117,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1900,1854,2232,2207,0.00,0.00,2475.00
1/1/2022 12:00:00 AM,AA,1170,BOS,"Boston, MA",MA,13,MIA,"Miami, FL",FL,33,1634,1626,2018,1953,0.00,0.00,1258.00
1/1/2022 12:00:00 AM,AA,1170,MIA,"Miami, FL",FL,33,BOS,"Boston, MA",MA,13,1210,1209,1522,1509,0.00,0.00,1258.00
1/1/2022 12:00:00 AM,AA,1171,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,0600,0557,0806,0800,0.00,0.00,500.00
1/1/2022 12:00:00 AM,AA,1172,ORD,"Chicago, IL",IL,41,BOS,"Boston, MA",MA,13,1754,1830,2116,2220,0.00,0.00,867.00
1/1/2022 12:00:00 AM,AA,1173,IAD,"Washington, DC",VA,38,CLT,"Charlotte, NC",NC,36,2008,2058,2143,2233,0.00,0.00,322.00
1/1/2022 12:00:00 AM,AA,1174,JFK,"New York, NY",NY,22,MIA,"Miami, FL",FL,33,1820,1817,2133,2116,0.00,0.00,1089.00
1/1/2022 12:00:00 AM,AA,1175,SFO,"San Francisco, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1721,1731,2249,2246,0.00,0.00,1464.00
1/1/2022 12:00:00 AM,AA,1177,DCA,"Washington, DC",VA,38,DFW,"Dallas/Fort Worth, TX",TX,74,1316,1313,1555,1623,0.00,0.00,1192.00
1/1/2022 12:00:00 AM,AA,1177,DFW,"Dallas/Fort Worth, TX",TX,74,DCA,"Washington, DC",VA,38,0835,0828,1221,1203,0.00,0.00,1192.00
1/1/2022 12:00:00 AM,AA,1178,DCA,"Washington, DC",VA,38,MIA,"Miami, FL",FL,33,0600,0555,0858,0820,0.00,0.00,919.00
1/1/2022 12:00:00 AM,AA,1179,CLT,"Charlotte, NC",NC,36,SAT,"San Antonio, TX",TX,74,1053,1049,1306,1248,0.00,0.00,1095.00
1/1/2022 12:00:00 AM,AA,118,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,0630,0722,1451,1525,0.00,0.00,2475.00
1/1/2022 12:00:00 AM,AA,1180,BOS,"Boston, MA",MA,13,CLT,"Charlotte, NC",NC,36,1233,1314,1508,1543,0.00,0.00,728.00
1/1/2022 12:00:00 AM,AA,1180,CLT,"Charlotte, NC",NC,36,BOS,"Boston, MA",MA,13,0928,1021,1143,1234,0.00,0.00,728.00
1/1/2022 12:00:00 AM,AA,1181,MIA,"Miami, FL",FL,33,BWI,"Baltimore, MD",MD,35,1910,1901,2140,2156,0.00,0.00,946.00
1/1/2022 12:00:00 AM,AA,1183,BWI,"Baltimore, MD",MD,35,MIA,"Miami, FL",FL,33,0600,0549,0853,0833,0.00,0.00,946.00
1/1/2022 12:00:00 AM,AA,1185,PHL,"Philadelphia, PA",PA,23,BOS,"Boston, MA",MA,13,0705,0658,0825,0801,0.00,0.00,280.00
1/1/2022 12:00:00 AM,AA,1186,CLT,"Charlotte, NC",NC,36,JFK,"New York, NY",NY,22,2252,2249,0051,0022,0.00,0.00,541.00
1/1/2022 12:00:00 AM,AA,1187,DFW,"Dallas/Fort Worth, TX",TX,74,PSP,"Palm Springs, CA",CA,91,1240,1239,1352,1354,0.00,0.00,1126.00
1/1/2022 12:00:00 AM,AA,119,DFW,"Dallas/Fort Worth, TX",TX,74,OGG,"Kahului, HI",HI,2,1120,1113,1544,1555,0.00,0.00,3711.00
1/1/2022 12:00:00 AM,AA,1192,DFW,"Dallas/Fort Worth, TX",TX,74,SLC,"Salt Lake City, UT",UT,87,2241,2248,0036,0031,0.00,0.00,989.00
1/1/2022 12:00:00 AM,AA,1194,AUS,"Austin, TX",TX,74,BOS,"Boston, MA",MA,13,0730,0726,1215,1201,0.00,0.00,1698.00
1/1/2022 12:00:00 AM,AA,1195,STT,"Charlotte Amalie, VI",VI,4,CLT,"Charlotte, NC",NC,36,1835,1826,2133,2107,0.00,0.00,1520.00
1/1/2022 12:00:00 AM,AA,1196,EWR,"Newark, NJ",NJ,21,MIA,"Miami, FL",FL,33,0623,,0939,,1.00,0.00,1085.00
1/1/2022 12:00:00 AM,AA,1199,MIA,"Miami, FL",FL,33,JFK,"New York, NY",NY,22,1600,1657,1850,1945,0.00,0.00,1089.00
1/1/2022 12:00:00 AM,AA,1200,ORD,"Chicago, IL",IL,41,TUS,"Tucson, AZ",AZ,81,1230,1330,1524,1646,0.00,0.00,1437.00
1/1/2022 12:00:00 AM,AA,1200,TUS,"Tucson, AZ",AZ,81,ORD,"Chicago, IL",IL,41,1604,,2033,,1.00,0.00,1437.00
1/1/2022 12:00:00 AM,AA,1202,SAN,"San Diego, CA",CA,91,CLT,"Charlotte, NC",NC,36,2232,2229,0556,0526,0.00,0.00,2077.00
1/1/2022 12:00:00 AM,AA,1205,DFW,"Dallas/Fort Worth, TX",TX,74,AUS,"Austin, TX",TX,74,2244,2259,2350,0020,0.00,0.00,190.00
1/1/2022 12:00:00 AM,AA,1206,MCO,"Orlando, FL",FL,33,AUS,"Austin, TX",TX,74,0600,0554,0800,0738,0.00,0.00,994.00
1/1/2022 12:00:00 AM,AA,1207,DFW,"Dallas/Fort Worth, TX",TX,74,TUS,"Tucson, AZ",AZ,81,1919,2034,2046,2205,0.00,0.00,813.00
1/1/2022 12:00:00 AM,AA,1208,BUR,"Burbank, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1318,1342,1830,1834,0.00,0.00,1231.00
1/1/2022 12:00:00 AM,AA,1208,DFW,"Dallas/Fort Worth, TX",TX,74,BUR,"Burbank, CA",CA,91,1055,1053,1228,1229,0.00,0.00,1231.00
1/1/2022 12:00:00 AM,AA,1209,PHX,"Phoenix, AZ",AZ,81,LAX,"Los Angeles, CA",CA,91,2030,2028,2106,2050,0.00,0.00,370.00
1/1/2022 12:00:00 AM,AA,1210,PHX,"Phoenix, AZ",AZ,81,SFO,"San Francisco, CA",CA,91,1121,1117,1236,1218,0.00,0.00,651.00
1/1/2022 12:00:00 AM,AA,1210,SFO,"San Francisco, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1329,1325,1635,1612,0.00,0.00,651.00
1/1/2022 12:00:00 AM,AA,1211,PHX,"Phoenix, AZ",AZ,81,CLT,"Charlotte, NC",NC,36,2358,0006,0551,0538,0.00,0.00,1773.00
1/1/2022 12:00:00 AM,AA,1212,PHX,"Phoenix, AZ",AZ,81,ONT,"Ontario, CA",CA,91,1916,1917,1936,1923,0.00,0.00,325.00
1/1/2022 12:00:00 AM,AA,1213,BWI,"Baltimore, MD",MD,35,DFW,"Dallas/Fort Worth, TX",TX,74,1903,1902,2145,2205,0.00,0.00,1217.00
1/1/2022 12:00:00 AM,AA,1213,DFW,"Dallas/Fort Worth, TX",TX,74,BWI,"Baltimore, MD",MD,35,1426,1420,1813,1814,0.00,0.00,1217.00
1/1/2022 12:00:00 AM,AA,1216,EWR,"Newark, NJ",NJ,21,CLT,"Charlotte, NC",NC,36,1705,1652,1910,1853,0.00,0.00,529.00
1/1/2022 12:00:00 AM,AA,1217,DFW,"Dallas/Fort Worth, TX",TX,74,SAT,"San Antonio, TX",TX,74,2242,2246,2359,2400,0.00,0.00,247.00
1/1/2022 12:00:00 AM,AA,1218,DCA,"Washington, DC",VA,38,PHX,"Phoenix, AZ",AZ,81,1010,1032,1330,1354,0.00,0.00,1979.00
1/1/2022 12:00:00 AM,AA,1219,ROC,"Rochester, NY",NY,22,CLT,"Charlotte, NC",NC,36,0608,0607,0820,0752,0.00,0.00,573.00
1/1/2022 12:00:00 AM,AA,1220,PBI,"West Palm Beach/Palm Beach, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,0700,0653,0919,0851,0.00,0.00,1102.00
1/1/2022 12:00:00 AM,AA,1222,RNO,"Reno, NV",NV,85,PHX,"Phoenix, AZ",AZ,81,0935,0929,1229,1210,0.00,0.00,601.00
1/1/2022 12:00:00 AM,AA,1223,EYW,"Key West, FL",FL,33,CLT,"Charlotte, NC",NC,36,1316,1609,1532,1821,0.00,0.00,736.00
1/1/2022 12:00:00 AM,AA,1226,MIA,"Miami, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,0529,0746,0744,0947,0.00,0.00,1121.00
1/1/2022 12:00:00 AM,AA,123,DFW,"Dallas/Fort Worth, TX",TX,74,HNL,"Honolulu, HI",HI,2,1050,1044,1539,1544,0.00,0.00,3784.00
1/1/2022 12:00:00 AM,AA,1231,DFW,"Dallas/Fort Worth, TX",TX,74,CLT,"Charlotte, NC",NC,36,1839,1839,2204,2156,0.00,0.00,936.00
